,text,color,size,position,time,sn,userid
0,二刷,#FFFFFF,1,0,0,42903755,qaz1210731
1,吉依好可愛,#FFFFFF,1,0,5,40580321,KingOrange69
2,哈嘍,#FFFFFF,1,0,5,40657118,rwan123
3,簽,#FFFFFF,1,0,5,41446388,nehsh101
4,1,#FFFFFF,1,0,5,42235007,zxc520031
5,個,#FFFFFF,1,0,5,42576215,d3498115
6,千,#FFFFFF,1,0,6,43809180,pikachiuweii
7,靠真的好可愛,#FFFFFF,1,0,10,38700844,milkppt
8,簽,#FF0026,1,0,15,42812053,Ceadda127
9,好可愛啊😍,#FFFFFF,2,0,15,43532304,bellaliu1230
10,兄弟們 我來了！,#FFFFFF,1,0,16,42125192,good78221125
11,簽,#FFFFFF,1,0,19,42456696,Rei9488
12,總點閱數千萬了，什麼時候出中文續集QAQ,#FFFFFF,1,0,23,41862583,IONCHIPS
13,我怎麼可能會輸給吉伊卡哇,#A7FE39,1,1,23,42523886,sunny254ww
14,巴哈我大哥,#FFFFFF,1,0,24,37399442,gemmalinn
15,兄弟,#FFFFFF,1,0,25,37090866,k246836
16,😆,#FFFFFF,1,0,25,37543537,a59875987
17,兄弟,#FFFFFF,1,0,25,39165765,coolmus64
18,這真的超可愛,#FFFFFF,1,0,25,41891414,bubble0315
19,好可愛,#FFFFFF,1,0,25,43842076,jerry990126
20,好棒喔  謝謝巴哈,#FFFFFF,1,0,28,37092222,kifar13
21,這部很治癒 也有一些恐怖的細節,#FF9496,2,0,30,42780785,kkjt1030
22,可愛,#FFFFFF,1,0,34,42096407,smile10101
23,感謝動畫瘋！,#FFFFFF,1,0,35,37089028,cathykao1015
24,1130611,#FFFFFF,1,0,35,39908396,Cute710
25,體感一分鐘笑爆....XD,#FFFFFF,1,0,40,40543483,ncbob
26,簽,#FFFFFF,1,0,44,42661483,m617007
27,謝謝巴哈大哥,#FFFFFF,1,0,47,41916318,zero77716
28,好可愛啊！我的天,#FF9496,1,1,49,45101628,kateihan0307
29,巴哈我大哥啊啊啊啊啊,#FFFFFF,1,0,50,37116180,iorimo0u0
30,兄弟…,#FFFFFF,1,0,50,38425610,zzxcc132465
31,日本,#FFFFFF,1,0,52,44779016,amywei03
32,簽,#FFFFFF,1,0,58,38369474,hongyouc01
33,簽！,#FFFFFF,1,0,58,41720550,Angrypig0212
34,二刷,#FFFFFF,1,0,59,44529553,st5109185
35,五刷,#FFFFFF,2,0,62,37116008,kerrypeng62
36,呀～～～耶,#FFFFFF,1,0,62,37846538,brianbon
37,你知道我要說什麼。(gif,#FFFFFF,1,0,65,37598411,ray030716
38,2024/7/3簽:D,#B538FA,1,0,65,40289891,Noisyfish
39,瘦版烏薩奇,#FFFFFF,1,0,65,42597745,loenyen73
40,伊呀哈～,#FFFFFF,1,0,70,37106233,blight0710
41,超三小,#FFFFFF,1,0,70,41651190,kevinlin5220
42,兔兔,#FFFFFF,1,0,71,37141334,marux3
43,兄弟，你香,#FFFFFF,1,0,73,39173954,hoen0531
44,兄弟...,#FFFFFF,1,0,75,38588475,hauch000727
45,簽,#FFFFFF,1,0,75,45040253,tjh0528
46,這時候聲優還很克制呢，可愛可愛的，後面就,#FFFFFF,1,0,76,41948239,Euphie617
47,30秒廣告 進來看1分鐘:）,#FFFFFF,1,2,80,38930758,s2p7hc2r9g
48,簽,#FFFFFF,1,0,80,42439437,JiaRui0719
49,兄弟,#FFFFFF,1,0,81,41531892,mken
50,阪急電鐵有搭到,#FF9625,1,0,85,38108219,erichuang80s
51,讚讚,#FDE53D,2,0,85,43843894,Mia1020214
52,第一次看動畫,#FFFFFF,1,0,86,41514906,z7957309
53,兄弟...兄弟...,#FFFFFF,1,0,87,37089556,as22768221
54,呀哈,#FFFFFF,1,0,87,42160399,fe6793
55,兔子玩得那麼開心，我聽了也好開心,#FDE53D,1,0,88,41712600,DKLin0218
56,巴哈我大哥啊啊啊啊啊啊！呀～～～～哈～～,#00C3FC,1,0,90,37320818,cutez77
57,我也想上去彈跳XD!!!!,#FFFFFF,1,0,93,37090008,akarimez
58,20250203,#FFFFFF,1,0,93,43750059,s0813707
59,怎麼可以那麼可愛,#FFFFFF,1,1,95,37836304,mia10110060
60,好好吃的感覺,#FF9496,1,0,95,39963271,haru15
61,我沒了,#FFFFFF,1,0,95,41584015,momoja0405
62,可愛死,#FFFFFF,1,0,95,44179848,g840483938
63,咿呀哈,#FFFFFF,1,0,97,37089017,xrayxrayxray
64,簽,#FFFFFF,1,0,97,41939951,g1080109
65,好癲我喜歡,#FFFFFF,1,0,98,40277813,s06578
66,這也太絲滑,#FFFFFF,1,0,98,44056626,WWW924051
67,呀,#FFFFFF,1,0,100,42386189,UwUsb924549
68,二刷,#FFFFFF,1,0,101,43860125,inspiration9
69,簽,#FFFFFF,1,0,105,40784961,yu2501171025
70,羊粑粑,#FFFFFF,1,0,105,44235094,K941119
71,！！！,#FFFFFF,2,0,106,42505502,pink20111129
72,24／7／18 一刷,#0036FA,2,2,109,40649740,xgu3771
73,呀哈！,#FDE53D,2,1,112,44403849,wunuynuy
74,好可愛,#FFFFFF,1,0,114,44529401,st5109185
75,啊啊啊啊啊啊 好可愛,#FF0026,1,0,115,41104639,zzx0914
76,超愛小八,#FFFFFF,1,0,115,42722940,g57z2p9hz8
77,好可愛R,#FFFFFF,1,0,116,37255874,orpeter2266
78,這個YA~的配音也太好笑🤣,#FFFFFF,1,0,116,40913696,sasujiya0214
79,巴哈我大哥,#FFFFFF,1,0,117,39327143,a4090851206
80,.,#FFFFFF,1,0,118,43528987,q3882222
81,兔哥威武,#FFFFFF,1,0,120,37088992,svn77
82,我好像有吉伊卡哇正版小娃娃,#FF02D3,2,0,121,41338198,qdi201716
83,吉伊值得你儲值付費,#FF9625,2,2,124,41569792,kmc41891
84,兄弟…你好香,#00C3FC,1,0,125,39026504,BHSN00004rpu
85,截圖當桌布,#FFFFFF,1,0,125,40271962,Bananaaa
86,別怕30秒廣告，因為你會一直重播看1小時,#FF9625,1,0,125,41712632,DKLin0218
87,挖哭挖哭,#FFFFFF,2,1,125,41820652,terryc92
88,兄弟...,#FFFFFF,1,0,126,38724243,Tt97011
89,烏薩奇我大兔哥,#FFFFFF,1,0,128,37923685,fkps9450432
90,兄弟你好香,#FFFFFF,1,0,129,37912075,thffhrherh5
91,我是兔媽咪,#FDE53D,2,2,129,42400432,yjyjyyjj
92,嗨,#FFFFFF,1,0,129,42530942,Wufun123
93,三小,#FFFFFF,1,0,130,37130234,ryan950623
94,好可愛,#FFFFFF,1,0,130,42719189,opendassh
95,8,#FFFFFF,1,0,133,44529558,st5109185
96,兄弟,#FFFFFF,1,0,135,37905019,Liny37723
97,買了會員看不了廣告呢,#FF0026,1,2,135,39669980,skfq99492p
98,嗚啦 嗚啦 嗚啦,#FFFFFF,2,2,135,40035961,egggg0720
99,可愛！,#FFFFFF,1,0,135,42832226,wwww98347
100,嘻嘻,#FF02D3,2,0,135,44777412,n2mdgjrmnx
101,巴哈我大哥,#FFFFFF,1,0,140,40226966,rc20081109
102,你好吉一卡娃,#00FF91,1,1,143,45336499,peide256
103,我可以重複N次,#FFFFFF,1,0,144,42655630,Euphie617
104,好可愛,#FF9496,2,0,148,42344679,QAQ108017
105,嗚啦,#FFFFFF,1,0,151,41817353,cjad20010827
106,好可愛,#FF9496,1,0,152,42649121,paz76823361
107,兄弟轉個身,#FFFFFF,2,0,155,38197027,Dd090527
