,en,href,rating,area_genre,dinner_price,lunch_price,holiday
0,Bon.nu,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/,4.28,"參宮橋車站 / 法式料理, 蛋糕","JPY 50,000 - JPY 59,999","JPY 50,000 - JPY 59,999",-
1,AIGRE DOUCE,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/,4.03,"目白車站 / 蛋糕, 馬卡龍","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
2,a tes souhaits!,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/,4.01,"西荻窪車站 / 蛋糕, 甜點",- JPY 999,- JPY 999,"星期一, 星期二"
3,L'Atelier à Ma Façon,https://tabelog.com/tw/tokyo/A1317/A131715/13242556/,4.00,"上野毛車站 / 甜點, 咖啡店","JPY 4,000 - JPY 4,999","JPY 4,000 - JPY 4,999",-
4,Patisserie Ryoko,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/,3.99,"高輪台車站 / 蛋糕, 泡芙, 西式甜點",-,- JPY 999,"星期一, 星期二, 星期三, 星期四"
5,GELATERIA ACQUOLINA,https://tabelog.com/tw/tokyo/A1317/A131701/13141364/,3.98,"祐天寺車站 / 意式冰淇淋/冰淇淋, 霜淇淋",-,- JPY 999,"星期一, 星期二"
6,Ikkou An,https://tabelog.com/tw/tokyo/A1323/A132302/13005076/,3.98,茗荷谷車站 / 日式點心,-,- JPY 999,"星期一, 星期二, 星期日"
7,Frederic Cassel Ginza Mitsukoshi Ten,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/,3.97,"銀座車站 / 蛋糕, 甜點, 巧克力",-,"JPY 2,000 - JPY 2,999",-
8,Avranches Guesnay,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/,3.96,"春日車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
9,patisserie Paris S'eveille,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/,3.95,"自由丘車站 / 蛋糕, 咖啡店, 麵包","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
10,Au Bon Vieux Temps Oyamadai Ten,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/,3.94,"尾山台車站 / 蛋糕, 小菜, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期二, 星期三"
11,Ryoura,https://tabelog.com/tw/tokyo/A1317/A131707/13188208/,3.94,"用賀車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999",-,"星期二, 星期三"
12,patisserie K.ViNCENT,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/,3.94,"飯田橋車站 / 蛋糕, 巧克力, 西式甜點","JPY 10,000 - JPY 14,999",-,-
13,Nihonbashi Nagato,https://tabelog.com/tw/tokyo/A1302/A130202/13011481/,3.92,日本橋車站 / 日式點心,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期日, 節假日"
